,SRA,DTW - Inflow,DTW - Outflow,DTW - CWithin,DTW - Netflow,DTW - InWithinflow
25,ALPINE,0.2,0.7,0.6,0.5,0.5
40,ANZA-BORREGO SPRINGS,0.1,0.1,0.0,0.0,0.1
28,CARLSBAD,2.2,2.9,4.3,0.7,3.9
0,CENTRAL SAN DIEGO,2.8,2.7,3.2,0.1,3.7
15,CHULA VISTA,1.6,2.7,3.2,1.2,2.9
7,COASTAL,1.8,1.1,1.8,0.8,2.1
2,CORONADO,0.9,0.5,0.6,0.4,0.9
9,DEL MAR-MIRA MESA,2.4,3.3,6.2,0.9,5.2
21,EL CAJON,1.9,3.3,4.7,1.5,4.0
13,ELLIOTT-NAVAJO,1.1,2.4,2.8,1.4,2.3
31,ESCONDIDO,1.9,3.5,5.7,1.7,4.6
36,FALLBROOK,0.6,1.2,1.6,0.7,1.3
24,HARBISON CREST,0.2,0.7,0.5,0.5,0.4
17,JAMUL,0.3,0.7,0.5,0.4,0.5
6,KEARNY MESA,3.6,3.1,4.7,0.5,5.0
20,LA MESA,1.3,1.6,1.6,0.3,1.8
38,LAGUNA-PINE VALLEY,0.1,0.3,0.1,0.2,0.1
23,LAKESIDE,0.8,2.8,2.5,2.0,2.0
19,LEMON GROVE,0.5,1.0,0.8,0.5,0.8
5,MID-CITY,1.5,3.6,3.7,2.2,3.2
12,MIRAMAR,0.2,0.1,0.1,0.1,0.2
39,MOUNTAIN EMPIRE,0.1,0.2,0.1,0.1,0.1
3,NATIONAL CITY,1.4,1.2,1.3,0.0,1.6
10,NORTH SAN DIEGO,1.8,2.7,4.8,1.0,4.0
29,OCEANSIDE,2.2,3.6,5.6,1.4,4.7
37,PALOMAR-JULIAN,0.1,0.1,0.1,0.0,0.1
35,PAUMA,0.1,0.3,0.2,0.2,0.2
30,PENDLETON,0.6,1.0,1.0,0.4,1.0
1,PENINSULA,1.6,1.0,1.4,0.6,1.8
11,POWAY,1.5,2.3,3.6,0.8,3.1
26,RAMONA,0.3,1.2,1.9,1.0,1.3
27,SAN DIEGUITO,1.9,1.6,3.3,0.3,3.1
32,SAN MARCOS,1.8,2.5,3.4,0.8,3.2
22,SANTEE,1.3,1.7,2.3,0.5,2.2
16,SOUTH BAY,1.1,2.8,3.7,2.1,2.9
4,SOUTHEASTERN SAN DIEGO,1.0,4.4,3.8,3.6,3.0
18,SPRING VALLEY,0.9,2.6,2.5,1.7,2.1
14,SWEETWATER,1.5,3.7,6.1,2.4,4.6
8,UNIVERSITY,1.1,1.3,1.3,0.4,1.4
34,VALLEY CENTER,0.3,0.9,0.7,0.6,0.6
33,VISTA,1.4,2.7,3.3,1.4,2.8
