,SRA,DTW - Inflow,DTW - Outflow,DTW - CWithin,DTW - Netflow,DTW - InWithinflow
25,ALPINE,0.3,0.9,0.6,0.7,0.5
40,ANZA-BORREGO SPRINGS,0.0,0.1,0.0,0.0,0.0
28,CARLSBAD,3.2,4.1,4.4,1.0,4.6
0,CENTRAL SAN DIEGO,3.8,3.1,3.0,0.2,4.1
15,CHULA VISTA,1.8,3.1,3.0,1.7,2.9
7,COASTAL,4.0,1.4,1.7,2.4,3.5
2,CORONADO,1.5,0.7,0.7,0.8,1.3
9,DEL MAR-MIRA MESA,3.1,4.9,6.1,1.9,5.6
21,EL CAJON,2.3,4.1,4.3,2.0,4.0
13,ELLIOTT-NAVAJO,1.3,3.3,2.6,2.2,2.3
31,ESCONDIDO,2.1,4.2,5.4,2.3,4.6
36,FALLBROOK,0.6,1.6,1.5,1.1,1.3
24,HARBISON CREST,0.3,0.9,0.4,0.7,0.4
17,JAMUL,0.4,0.9,0.5,0.6,0.5
6,KEARNY MESA,4.7,3.8,4.5,0.7,5.6
20,LA MESA,1.7,2.1,1.6,0.5,2.0
38,LAGUNA-PINE VALLEY,0.2,0.3,0.1,0.1,0.2
23,LAKESIDE,1.0,3.5,2.3,2.6,2.0
19,LEMON GROVE,0.5,1.1,0.7,0.7,0.7
5,MID-CITY,1.6,3.7,3.2,2.5,3.0
12,MIRAMAR,0.2,0.1,0.1,0.1,0.2
39,MOUNTAIN EMPIRE,0.1,0.2,0.1,0.1,0.1
3,NATIONAL CITY,1.5,1.4,1.1,0.1,1.6
10,NORTH SAN DIEGO,2.3,4.2,4.8,1.9,4.3
29,OCEANSIDE,2.9,4.5,5.5,1.8,5.1
37,PALOMAR-JULIAN,0.2,0.2,0.1,0.0,0.2
35,PAUMA,0.2,0.3,0.1,0.1,0.2
30,PENDLETON,0.8,1.4,0.9,0.6,1.0
1,PENINSULA,2.6,1.2,1.3,1.4,2.4
11,POWAY,1.8,3.4,3.6,1.7,3.3
26,RAMONA,0.3,1.6,1.8,1.3,1.3
27,SAN DIEGUITO,2.8,2.5,3.4,0.2,3.7
32,SAN MARCOS,2.1,3.4,3.3,1.5,3.2
22,SANTEE,1.5,2.2,2.2,0.8,2.2
16,SOUTH BAY,1.2,3.3,3.4,2.6,2.9
4,SOUTHEASTERN SAN DIEGO,1.0,5.0,3.3,4.6,2.7
18,SPRING VALLEY,1.0,3.2,2.3,2.5,2.0
14,SWEETWATER,1.7,4.9,5.9,3.5,4.6
8,UNIVERSITY,1.5,1.1,1.2,0.3,1.6
34,VALLEY CENTER,0.4,1.1,0.7,0.7,0.7
33,VISTA,1.5,3.4,3.1,2.0,2.8
