,SRA,DTW - Inflow,DTW - Outflow,DTW - CWithin,DTW - Netflow,DTW - InWithinflow
25,ALPINE,0.3,1.1,0.7,0.8,0.6
40,ANZA-BORREGO SPRINGS,0.1,0.0,0.0,0.0,0.0
28,CARLSBAD,3.7,4.9,5.3,1.3,5.5
0,CENTRAL SAN DIEGO,5.1,3.9,3.5,0.6,5.3
15,CHULA VISTA,2.1,3.8,3.5,2.1,3.5
7,COASTAL,3.8,1.9,2.3,1.9,3.7
2,CORONADO,1.7,0.9,0.8,0.8,1.5
9,DEL MAR-MIRA MESA,3.8,5.8,7.1,2.1,6.7
21,EL CAJON,2.9,5.0,4.9,2.4,4.7
13,ELLIOTT-NAVAJO,1.6,4.0,3.0,2.6,2.8
31,ESCONDIDO,2.5,4.6,6.4,2.5,5.4
36,FALLBROOK,0.7,1.7,1.7,1.1,1.5
24,HARBISON CREST,0.4,1.1,0.5,0.8,0.5
17,JAMUL,0.5,1.1,0.5,0.7,0.6
6,KEARNY MESA,5.8,4.6,5.6,1.0,7.0
20,LA MESA,2.0,2.5,1.9,0.6,2.4
38,LAGUNA-PINE VALLEY,0.2,0.4,0.1,0.1,0.2
23,LAKESIDE,1.2,4.2,2.7,3.1,2.4
19,LEMON GROVE,0.6,1.3,0.7,0.7,0.8
5,MID-CITY,1.9,4.6,3.8,3.2,3.5
12,MIRAMAR,0.3,0.2,0.1,0.1,0.2
39,MOUNTAIN EMPIRE,0.1,0.2,0.1,0.2,0.1
3,NATIONAL CITY,1.8,1.6,1.2,0.1,1.9
10,NORTH SAN DIEGO,2.8,4.8,5.8,2.1,5.2
29,OCEANSIDE,3.0,5.1,6.4,2.4,5.8
37,PALOMAR-JULIAN,0.2,0.2,0.1,0.0,0.2
35,PAUMA,0.2,0.4,0.2,0.2,0.2
30,PENDLETON,0.8,1.5,0.9,0.7,1.0
1,PENINSULA,3.3,1.5,1.7,1.8,3.0
11,POWAY,2.1,4.0,4.1,2.0,3.8
26,RAMONA,0.3,1.7,2.1,1.4,1.5
27,SAN DIEGUITO,3.0,3.1,4.0,0.2,4.3
32,SAN MARCOS,2.4,3.9,3.8,1.6,3.8
22,SANTEE,1.8,2.5,2.6,0.8,2.7
16,SOUTH BAY,1.2,3.9,3.7,3.3,3.1
4,SOUTHEASTERN SAN DIEGO,1.3,6.1,3.9,5.1,3.2
18,SPRING VALLEY,1.3,3.7,2.6,2.6,2.4
14,SWEETWATER,2.1,5.6,6.8,3.9,5.4
8,UNIVERSITY,2.1,1.3,1.5,0.7,2.2
34,VALLEY CENTER,0.6,1.3,0.8,0.8,0.8
33,VISTA,1.7,3.9,3.5,2.4,3.2
