,SRA,DTW - Inflow,DTW - Outflow,DTW - CWithin,DTW - Netflow,DTW - InWithinflow
25,ALPINE,0.2,0.9,0.6,0.6,0.5
40,ANZA-BORREGO SPRINGS,0.0,0.0,0.0,0.0,0.0
28,CARLSBAD,3.2,4.2,4.4,1.1,4.6
0,CENTRAL SAN DIEGO,4.0,3.2,3.1,0.4,4.4
15,CHULA VISTA,1.6,2.9,3.1,1.7,2.9
7,COASTAL,4.1,1.7,1.8,2.3,3.6
2,CORONADO,1.6,0.9,0.7,0.7,1.4
9,DEL MAR-MIRA MESA,3.1,5.0,5.8,2.0,5.4
21,EL CAJON,2.1,4.0,4.0,2.2,3.7
13,ELLIOTT-NAVAJO,1.2,3.4,2.5,2.2,2.3
31,ESCONDIDO,1.9,3.9,5.2,2.3,4.3
36,FALLBROOK,0.5,1.5,1.3,1.0,1.1
24,HARBISON CREST,0.3,0.9,0.3,0.6,0.4
17,JAMUL,0.4,0.9,0.4,0.6,0.5
6,KEARNY MESA,4.5,3.8,4.5,0.5,5.5
20,LA MESA,1.6,2.0,1.6,0.6,1.9
38,LAGUNA-PINE VALLEY,0.2,0.3,0.1,0.1,0.2
23,LAKESIDE,0.9,3.3,2.3,2.5,2.0
19,LEMON GROVE,0.5,1.1,0.6,0.7,0.7
5,MID-CITY,1.6,3.7,3.1,2.5,2.9
12,MIRAMAR,0.2,0.1,0.0,0.1,0.2
39,MOUNTAIN EMPIRE,0.1,0.2,0.1,0.1,0.1
3,NATIONAL CITY,1.4,1.3,1.0,0.1,1.5
10,NORTH SAN DIEGO,2.2,4.1,4.8,1.9,4.3
29,OCEANSIDE,2.8,4.2,5.4,1.7,5.0
37,PALOMAR-JULIAN,0.1,0.1,0.1,0.0,0.1
35,PAUMA,0.2,0.3,0.1,0.2,0.2
30,PENDLETON,0.7,1.3,0.8,0.6,0.9
1,PENINSULA,2.8,1.2,1.3,1.5,2.5
11,POWAY,1.7,3.5,3.4,1.8,3.1
26,RAMONA,0.3,1.5,1.7,1.3,1.2
27,SAN DIEGUITO,2.7,2.7,3.3,0.2,3.7
32,SAN MARCOS,2.0,3.2,3.1,1.4,3.1
22,SANTEE,1.4,2.1,2.1,0.7,2.1
16,SOUTH BAY,1.0,3.1,3.1,2.7,2.6
4,SOUTHEASTERN SAN DIEGO,1.0,4.8,3.2,4.3,2.6
18,SPRING VALLEY,1.0,3.0,2.1,2.3,1.9
14,SWEETWATER,1.6,4.6,5.4,3.4,4.3
8,UNIVERSITY,1.5,1.1,1.2,0.3,1.6
34,VALLEY CENTER,0.4,1.1,0.7,0.7,0.6
33,VISTA,1.4,3.2,2.9,2.0,2.6
